timestamp,flight_hours,ambient_temp,altitude_ft,rpm,cht,egt,fuel_flow,oil_pressure,vibration,dynamic_thermal_limit,mission_abort,anomaly_score,anomaly_flag,severity,most_likely_fault,confidence_pct,rul_hours,rul_ci_hours
1788612007.1783426,480.0072,15.0,5000.0,4318.807279836743,118.04131907509573,889.5232435932073,22.443830852158097,4.03418274636202,0.8826642507107083,120.0,False,0.8729,False,HIGH,Fuel Injection & Induction Fault,84.1,489.7,5.8
1788612007.6785345,480.0074,15.0,5000.0,4315.180363045618,119.03305945870864,888.6699051609519,20.86786151754188,4.125438827738612,0.8810792016928061,120.0,False,0.611,False,MEDIUM,Overheat / Cooling Circuit Fault,68.6,489.7,5.8
1788612008.1786203,480.0075,15.0,5000.0,4309.376475872697,118.78345157828144,888.8433887485685,20.85013787238114,4.132597908996987,0.8760582517441745,120.0,False,0.4277,False,MEDIUM,Fuel Injection & Induction Fault,59.5,489.7,5.8
1788612008.6790776,480.0076,15.0,5000.0,4303.216598295863,118.29918044458684,888.6231332112319,20.806974585426975,4.135126315152904,0.8863591316518712,120.0,False,0.2994,False,LOW,Governor / Throttle Linkage Fault,60.7,489.7,5.8
1788612009.1794205,480.0078,15.0,5000.0,4338.443776096405,118.62178564819312,890.8995147556029,21.455827824804256,4.159126128638907,0.885008822021645,120.0,False,0.2406,False,LOW,Governor / Throttle Linkage Fault,73.7,489.7,5.8
1788612009.6796398,480.0079,15.0,5000.0,4296.159158997655,118.03817720754056,885.4251472926478,20.973204476142786,4.112576507730738,0.8864913905650714,120.0,False,0.2143,False,LOW,Overheat / Cooling Circuit Fault,69.8,489.7,5.8
1788612010.180176,480.0081,15.0,5000.0,4315.362305799845,118.92654364971774,890.4950372302495,21.19179102880241,4.200807253036239,0.8843702439803381,120.0,False,0.15,False,LOW,Lubrication System Fault,68.6,489.7,5.8
1788612010.6806157,480.0082,15.0,5000.0,4303.790574194753,118.34584628270038,887.451558426746,20.765626134710043,4.18836975041906,0.8740738896902033,120.0,False,0.105,False,LOW,Lubrication System Fault,65.5,489.7,5.8
1788612011.1814213,480.0083,15.0,5000.0,4315.429612886024,118.22689419103605,887.2452346459789,20.929648699012855,4.143660296806703,0.8818239662090747,120.0,False,0.0735,False,LOW,Overheat / Cooling Circuit Fault,62.5,489.7,5.8
1788612011.6814177,480.0085,15.0,5000.0,4321.8842646569,118.53526901900553,884.9318656247283,22.0015076570057,4.085815735777764,0.8850519560551273,120.0,False,0.1299,False,LOW,Fuel Injection & Induction Fault,72.0,489.7,5.8
1788612012.1819148,480.0086,15.0,5000.0,4289.247491644835,118.42780373820251,887.1968566155654,20.993791438283594,4.144207963755194,0.8954751672322178,120.0,False,0.0929,False,MEDIUM,Governor / Throttle Linkage Fault,74.4,489.7,5.8
1788612012.6820989,480.0088,15.0,5000.0,4325.632335146716,118.40407005042695,891.4761141655382,21.23961407077816,4.1781158307024375,0.8932005785187518,120.0,False,0.0651,False,LOW,Combustion / Injector Abnormality,69.3,489.7,5.8
1788612013.1821172,480.0089,15.0,5000.0,4331.508570405592,118.6374661157398,890.038151829447,21.87515088507632,4.1028013341934155,0.8801766803606199,120.0,False,0.0732,False,LOW,Fuel Injection & Induction Fault,68.5,489.7,5.8
1788612013.6828,480.009,15.0,5000.0,4330.673812477805,118.55197929869873,892.2034042376133,20.954106653390113,4.163549136717064,0.8849921321501012,120.0,False,0.0806,False,LOW,Combustion / Injector Abnormality,73.5,489.7,5.8
1788612014.183029,480.0092,15.0,5000.0,4314.9412955595,118.50922871369792,888.7451357955964,21.130917852300364,4.051155529183819,0.8932364730371773,120.0,False,0.0564,False,LOW,Lubrication System Fault,69.4,489.7,5.8
1788612014.6839983,480.0093,15.0,5000.0,4334.7185563575085,118.75265840561981,885.7982857258024,21.328438484821483,4.1645241151621555,0.895955494579288,120.0,False,0.0395,False,LOW,Governor / Throttle Linkage Fault,70.1,489.7,5.8
1788612015.1845138,480.0094,15.0,5000.0,4294.338138097595,118.53632372882547,889.4402206802848,20.97730019658887,4.140836009175937,0.897335614490135,120.0,False,0.0276,False,LOW,Governor / Throttle Linkage Fault,69.4,489.7,5.8
